C,C,W,W,W,D,D,G,UTIL
Vincent Trocheck (7723980),Steven Stamkos (7723976),Shane Prince (7724039),Nikita Kucherov (7724048),David Pastrnak (7724029),Slater Koekkoek (7724107),Victor Hedman (7724101),Jaroslav Halak (7724121),Dennis Seidenberg (7724072)
Vincent Trocheck (7723980),Steven Stamkos (7723976),Colton Sceviour (7724010),Nikita Kucherov (7724048),David Pastrnak (7724029),Slater Koekkoek (7724107),Victor Hedman (7724101),Jaroslav Halak (7724121),Calvin de Haan (7724079)
Valtteri Filppula (7723975),Steven Stamkos (7723976),Nikita Kucherov (7724048),David Pastrnak (7724029),Jonathan Marchessault (7724017),Brandon Carlo (7724069),Victor Hedman (7724101),Jaroslav Halak (7724121),Troy Stecher (7724091)
Vincent Trocheck (7723980),Patrice Bergeron (7723951),Colton Sceviour (7724010),Nikita Kucherov (7724048),David Pastrnak (7724029),Victor Hedman (7724101),Johnny Boychuk (7724073),Jaroslav Halak (7724121),Shane Prince (7724039)
Johan Larsson (7723955),Ryan O'Reilly (7723954),Nikita Kucherov (7724048),David Pastrnak (7724029),Brad Marchand (7723987),Brandon Carlo (7724069),Victor Hedman (7724101),Jaroslav Halak (7724121),Slater Koekkoek (7724107)
John Tavares (7723966),Steven Stamkos (7723976),Shane Prince (7724039),Nikita Kucherov (7724048),David Pastrnak (7724029),Calvin de Haan (7724079),Slater Koekkoek (7724107),Tuukka Rask (7724113),Dennis Seidenberg (7724072)
Patrice Bergeron (7723951),John Tavares (7723966),Shane Prince (7724039),Nikita Kucherov (7724048),Brad Marchand (7723987),Calvin de Haan (7724079),Johnny Boychuk (7724073),Tuukka Rask (7724113),Troy Stecher (7724091)
Ryan O'Reilly (7723954),Steven Stamkos (7723976),Alex Killorn (7724016),Jonathan Marchessault (7724017),Nikita Kucherov (7724048),Calvin de Haan (7724079),Nick Leddy (7724080),Tuukka Rask (7724113),Thomas Hickey (7724076)
Vincent Trocheck (7723980),John Tavares (7723966),Colton Sceviour (7724010),Matt Moulson (7723986),David Pastrnak (7724029),Victor Hedman (7724101),Rasmus Ristolainen (7724068),Tuukka Rask (7724113),Valtteri Filppula (7723975)
Ryan O'Reilly (7723954),Steven Stamkos (7723976),Brian Gionta (7724020),Jonathan Marchessault (7724017),Brad Marchand (7723987),Michael Matheson (7724108),Keith Yandle (7724096),Tuukka Rask (7724113),Brian Boyle (7724009)
