C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,G,Carey Price (7714182),Carey Price,7714182,8500,Phi@Mon 07:00PM ET,Mon,
,,,,,,,,,,D,Brent Burns (7714137),Brent Burns,7714137,8500,Pit@SJ 10:30PM ET,SJ,
,,,,,,,,,,RW,Patrick Kane (7713867),Patrick Kane,7713867,8400,Chi@Dal 08:00PM ET,Chi,
,,,,,,,,,,G,Ben Bishop (7714197),Ben Bishop,7714197,8300,NJ@TB 07:00PM ET,TB,
,,,,,,,,,,C,Connor McDavid (7713526),Connor McDavid,7713526,8300,Edm@NYI 07:00PM ET,Edm,
,,,,,,,,,,G,Braden Holtby (7714210),Braden Holtby,7714210,8300,Fla@Was 07:00PM ET,Was,
,,,,,,,,,,G,Henrik Lundqvist (7714168),Henrik Lundqvist,7714168,8200,NYR@Bos 07:00PM ET,NYR,
,,,,,,,,,,LW,Alex Ovechkin (7713686),Alex Ovechkin,7713686,8200,Fla@Was 07:00PM ET,Was,
,,,,,,,,,,G,Al Montoya (7714181),Al Montoya,7714181,8000,Phi@Mon 07:00PM ET,Mon,
,,,,,,,,,,G,Andrei Vasilevskiy (7714200),Andrei Vasilevskiy,7714200,8000,NJ@TB 07:00PM ET,TB,
,,,,,,,,,,G,Corey Crawford (7714222),Corey Crawford,7714222,8000,Chi@Dal 08:00PM ET,Chi,
,,,,,,,,,,G,Marc-Andre Fleury (7714234),Marc-Andre Fleury,7714234,8000,Pit@SJ 10:30PM ET,Pit,
,,,,,,,,,,G,Matt Murray (7714236),Matt Murray,7714236,8000,Pit@SJ 10:30PM ET,Pit,
,,,,,,,,,,G,Devan Dubnyk (7714154),Devan Dubnyk,7714154,7900,Min@Col 03:00PM ET,Min,
,,,,,,,,,,G,Craig Anderson (7714187),Craig Anderson,7714187,7900,Buf@Ott 07:00PM ET,Ott,
,,,,,,,,,,C,Steven Stamkos (7713512),Steven Stamkos,7713512,7900,NJ@TB 07:00PM ET,TB,
,,,,,,,,,,G,Philipp Grubauer (7714211),Philipp Grubauer,7714211,7900,Fla@Was 07:00PM ET,Was,
,,,,,,,,,,C,Sidney Crosby (7713577),Sidney Crosby,7713577,7900,Pit@SJ 10:30PM ET,Pit,
,,,,,,,,,,G,Pekka Rinne (7714216),Pekka Rinne,7714216,7800,Car@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,G,Scott Darling (7714224),Scott Darling,7714224,7800,Chi@Dal 08:00PM ET,Chi,
,,,,,,,,,,G,Jonathan Quick (7714229),Jonathan Quick,7714229,7800,Cgy@LA 10:00PM ET,LA,
,,,,,,,,,,RW,Joe Pavelski (7713886),Joe Pavelski,7713886,7800,Pit@SJ 10:30PM ET,SJ,
,,,,,,,,,,G,Darcy Kuemper (7714157),Darcy Kuemper,7714157,7700,Min@Col 03:00PM ET,Min,
,,,,,,,,,,RW,Vladimir Tarasenko (7713759),Vladimir Tarasenko,7713759,7700,Cls@StL 07:00PM ET,StL,
,,,,,,,,,,G,Antti Raanta (7714174),Antti Raanta,7714174,7700,NYR@Bos 07:00PM ET,NYR,
,,,,,,,,,,G,Andrew Hammond (7714193),Andrew Hammond,7714193,7700,Buf@Ott 07:00PM ET,Ott,
