"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Brent Burns",8600,"SJ@Nsh 09:00PM ET",5.241,"SJ"
"G","Brian Elliott",8500,"Dal@StL 08:00PM ET",5.162,"StL"
"LW","Jamie Benn",8300,"Dal@StL 08:00PM ET",4.589,"Dal"
"G","Martin Jones",8100,"SJ@Nsh 09:00PM ET",4.622,"SJ"
"G","Pekka Rinne",8000,"SJ@Nsh 09:00PM ET",4.041,"Nsh"
"RW","Joe Pavelski",7900,"SJ@Nsh 09:00PM ET",4.246,"SJ"
"RW","Vladimir Tarasenko",7800,"Dal@StL 08:00PM ET",4.317,"StL"
"G","Antti Niemi",7600,"Dal@StL 08:00PM ET",3.766,"Dal"
"D","Roman Josi",7300,"SJ@Nsh 09:00PM ET",4.098,"Nsh"
"D","Kevin Shattenkirk",6900,"Dal@StL 08:00PM ET",3.484,"StL"
"D","Shea Weber",6800,"SJ@Nsh 09:00PM ET",3.764,"Nsh"
"RW","James Neal",6500,"SJ@Nsh 09:00PM ET",3.610,"Nsh"
"LW","Filip Forsberg",6500,"SJ@Nsh 09:00PM ET",3.662,"Nsh"
"C","Logan Couture",6200,"SJ@Nsh 09:00PM ET",3.371,"SJ"
"RW","Patrick Sharp",6100,"Dal@StL 08:00PM ET",3.225,"Dal"
"C","Jason Spezza",6100,"Dal@StL 08:00PM ET",3.723,"Dal"
"D","Alex Pietrangelo",6000,"Dal@StL 08:00PM ET",3.404,"StL"
"D","John Klingberg",6000,"Dal@StL 08:00PM ET",3.022,"Dal"
"C","Joe Thornton",5900,"SJ@Nsh 09:00PM ET",3.094,"SJ"
"LW","Alexander Steen",5800,"Dal@StL 08:00PM ET",3.374,"StL"
"C","Patrick Marleau",5700,"SJ@Nsh 09:00PM ET",2.994,"SJ"
"C","Ryan Johansen",5600,"SJ@Nsh 09:00PM ET",3.010,"Nsh"
"D","Alex Goligoski",5400,"Dal@StL 08:00PM ET",2.764,"Dal"
"LW","Jaden Schwartz",5300,"Dal@StL 08:00PM ET",3.058,"StL"
"LW","Tomas Hertl",5200,"SJ@Nsh 09:00PM ET",2.972,"SJ"
"RW","David Backes",5100,"Dal@StL 08:00PM ET",2.848,"StL"
"D","Colton Parayko",5100,"Dal@StL 08:00PM ET",2.781,"StL"
"D","Marc-Edouard Vlasic",4900,"SJ@Nsh 09:00PM ET",2.988,"SJ"
"C","Paul Stastny",4700,"Dal@StL 08:00PM ET",2.620,"StL"
"D","Kris Russell",4600,"Dal@StL 08:00PM ET",2.689,"Dal"
"RW","Craig Smith",4600,"SJ@Nsh 09:00PM ET",2.476,"Nsh"
"D","Ryan Ellis",4400,"SJ@Nsh 09:00PM ET",2.494,"Nsh"
"RW","Ales Hemsky",4300,"Dal@StL 08:00PM ET",2.440,"Dal"
"C","Cody Eakin",4300,"Dal@StL 08:00PM ET",2.236,"Dal"
"D","Mattias Ekholm",4300,"SJ@Nsh 09:00PM ET",2.380,"Nsh"
"LW","Robby Fabbri",4200,"Dal@StL 08:00PM ET",2.118,"StL"
"RW","Joel Ward",4100,"SJ@Nsh 09:00PM ET",2.609,"SJ"
"RW","Troy Brouwer",4000,"Dal@StL 08:00PM ET",2.374,"StL"
"C","Jori Lehtera",4000,"Dal@StL 08:00PM ET",1.663,"StL"
"RW","Patrick Eaves",3900,"Dal@StL 08:00PM ET",1.846,"Dal"
"C","Patrik Berglund",3900,"Dal@StL 08:00PM ET",2.181,"StL"
"C","Mike Fisher",3800,"SJ@Nsh 09:00PM ET",2.144,"Nsh"
"D","Jay Bouwmeester",3800,"Dal@StL 08:00PM ET",2.012,"StL"
"D","Johnny Oduya",3800,"Dal@StL 08:00PM ET",2.038,"Dal"
"C","Mike Ribeiro",3700,"SJ@Nsh 09:00PM ET",1.802,"Nsh"
"LW","Joonas Donskoi",3700,"SJ@Nsh 09:00PM ET",2.074,"SJ"
"D","Jason Demers",3600,"Dal@StL 08:00PM ET",2.019,"Dal"
"LW","Mattias Janmark",3600,"Dal@StL 08:00PM ET",1.857,"Dal"
"D","Justin Braun",3500,"SJ@Nsh 09:00PM ET",2.159,"SJ"
"LW","Calle Jarnkrok",3500,"SJ@Nsh 09:00PM ET",1.747,"Nsh"
"LW","Colin Wilson",3300,"SJ@Nsh 09:00PM ET",1.968,"Nsh"
"C","Radek Faksa",3300,"Dal@StL 08:00PM ET",1.824,"Dal"
"RW","Valeri Nichushkin",3300,"Dal@StL 08:00PM ET",1.793,"Dal"
"RW","Viktor Arvidsson",3300,"SJ@Nsh 09:00PM ET",2.060,"Nsh"
"D","Roman Polak",3200,"SJ@Nsh 09:00PM ET",1.858,"SJ"
"RW","Colton Sceviour",3200,"Dal@StL 08:00PM ET",2.006,"Dal"
"LW","Antoine Roussel",3200,"Dal@StL 08:00PM ET",1.883,"Dal"
"D","Paul Martin",3000,"SJ@Nsh 09:00PM ET",1.642,"SJ"
"RW","Tommy Wingels",3000,"SJ@Nsh 09:00PM ET",1.862,"SJ"
"D","Jordie Benn",2800,"Dal@StL 08:00PM ET",1.419,"Dal"
"D","Stephen Johns",2800,"Dal@StL 08:00PM ET",1.326,"Dal"
"LW","Matt Nieto",2700,"SJ@Nsh 09:00PM ET",1.475,"SJ"
"LW","Scottie Upshall",2600,"Dal@StL 08:00PM ET",1.349,"StL"
"D","Brenden Dillon",2600,"SJ@Nsh 09:00PM ET",1.483,"SJ"
"RW","Melker Karlsson",2600,"SJ@Nsh 09:00PM ET",1.770,"SJ"
"LW","Dainius Zubrus",2500,"SJ@Nsh 09:00PM ET",0.774,"SJ"
"C","Olli Jokinen",2500,"Dal@StL 08:00PM ET",0,"StL"
"D","Barret Jackman",2500,"SJ@Nsh 09:00PM ET",1.056,"Nsh"
"LW","Eric Nystrom",2500,"SJ@Nsh 09:00PM ET",0.933,"Nsh"
"C","Vernon Fiddler",2500,"Dal@StL 08:00PM ET",1.495,"Dal"
"LW","Travis Moen",2500,"Dal@StL 08:00PM ET",0.512,"Dal"
"C","Paul Gaustad",2500,"SJ@Nsh 09:00PM ET",0.838,"Nsh"
"C","Kyle Brodziak",2500,"Dal@StL 08:00PM ET",0.899,"StL"
"D","Peter Harrold",2500,"Dal@StL 08:00PM ET",0.000,"StL"
"RW","Cody Bass",2500,"SJ@Nsh 09:00PM ET",0.429,"Nsh"
"RW","Ryan Reaves",2500,"Dal@StL 08:00PM ET",0.423,"StL"
"D","Chris Butler",2500,"Dal@StL 08:00PM ET",0.600,"StL"
"LW","Micheal Haley",2500,"SJ@Nsh 09:00PM ET",0.455,"SJ"
"LW","Nick Spaling",2500,"SJ@Nsh 09:00PM ET",1.239,"SJ"
"D","Carl Gunnarsson",2500,"Dal@StL 08:00PM ET",1.381,"StL"
"LW","Magnus Paajarvi",2500,"Dal@StL 08:00PM ET",1.327,"StL"
"RW","Jordan Caron",2500,"Dal@StL 08:00PM ET",0.083,"StL"
"D","Robert Bortuzzo",2500,"Dal@StL 08:00PM ET",1.019,"StL"
"RW","Gabriel Bourque",2500,"SJ@Nsh 09:00PM ET",1.121,"Nsh"
"LW","Austin Watson",2500,"SJ@Nsh 09:00PM ET",1.014,"Nsh"
