C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,C,Connor McDavid (7718830),Connor McDavid,7718830,8300,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,G,Henrik Lundqvist (7719172),Henrik Lundqvist,7719172,8300,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,RW,Patrick Kane (7718997),Patrick Kane,7718997,8200,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,G,Corey Crawford (7719167),Corey Crawford,7719167,8200,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,G,John Gibson (7719182),John Gibson,7719182,7900,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,G,Cam Talbot (7719155),Cam Talbot,7719155,7800,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,G,Scott Darling (7719169),Scott Darling,7719169,7800,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,G,Antti Raanta (7719177),Antti Raanta,7719177,7800,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,RW,Vladimir Tarasenko (7718958),Vladimir Tarasenko,7718958,7700,Col@StL 05:00PM ET,StL,
,,,,,,,,,,G,Jake Allen (7719147),Jake Allen,7719147,7700,Col@StL 05:00PM ET,StL,
,,,,,,,,,,G,Cory Schneider (7719161),Cory Schneider,7719161,7700,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,G,Jonathan Bernier (7719178),Jonathan Bernier,7719178,7700,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,G,Jonas Gustavsson (7719154),Jonas Gustavsson,7719154,7600,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,C,Tyler Seguin (7718845),Tyler Seguin,7718845,7600,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,G,Carter Hutton (7719148),Carter Hutton,7719148,7500,Col@StL 05:00PM ET,StL,
,,,,,,,,,,G,Keith Kinkaid (7719164),Keith Kinkaid,7719164,7500,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,G,Jimmy Howard (7719153),Jimmy Howard,7719153,7400,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,G,Petr Mrazek (7719157),Petr Mrazek,7719157,7400,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,G,Semyon Varlamov (7719146),Semyon Varlamov,7719146,7300,Col@StL 05:00PM ET,Col,
,,,,,,,,,,G,Brian Elliott (7719179),Brian Elliott,7719179,7300,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,G,Chad Johnson (7719181),Chad Johnson,7719181,7300,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,G,Calvin Pickard (7719149),Calvin Pickard,7719149,7200,Col@StL 05:00PM ET,Col,
,,,,,,,,,,RW,Corey Perry (7719016),Corey Perry,7719016,7200,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,G,Cam Ward (7719160),Cam Ward,7719160,7100,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,C,Mark Scheifele (7718860),Mark Scheifele,7718860,7100,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,G,Michael Hutchinson (7719174),Michael Hutchinson,7719174,7100,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,G,Connor Hellebuyck (7719176),Connor Hellebuyck,7719176,7100,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,LW,Jamie Benn (7718918),Jamie Benn,7718918,7000,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,G,Kari Lehtonen (7719166),Kari Lehtonen,7719166,7000,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,G,Antti Niemi (7719168),Antti Niemi,7719168,7000,Dal@Chi 07:00PM ET,Dal,
