Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nhl.p.2418,Scott,Hartnell,LW,CLS,TOR,CLS@TOR,7:00PM EST,22,6.8," "
nhl.p.2891,Fedor,Tyutin,D,CLS,TOR,CLS@TOR,7:00PM EST,12,2.9," "
nhl.p.3274,Gregory,Campbell,C,CLS,TOR,CLS@TOR,7:00PM EST,12,2.2," "
nhl.p.3632,Rene,Bourque,RW,CLS,TOR,CLS@TOR,7:00PM EST,12,2.7," "
nhl.p.3777,Jack,Johnson,D,CLS,TOR,CLS@TOR,7:00PM EST,16,5.1," "
nhl.p.3880,Brandon,Dubinsky,C,CLS,TOR,CLS@TOR,7:00PM EST,17,5.8," "
nhl.p.4152,Jared,Boll,RW,CLS,TOR,CLS@TOR,7:00PM EST,12,0.7," "
nhl.p.4585,Justin,Falk,D,CLS,TOR,CLS@TOR,7:00PM EST,12,2.2," "
nhl.p.4892,Kevin,Connauton,D,CLS,TOR,CLS@TOR,7:00PM EST,14,4.2," "
nhl.p.4895,Cody,Goloubef,D,CLS,TOR,CLS@TOR,7:00PM EST,12,3.6," "
nhl.p.4953,David,Savard,D,CLS,TOR,CLS@TOR,7:00PM EST,14,4.8," "
nhl.p.5127,Dalton,Prout,D,CLS,TOR,CLS@TOR,7:00PM EST,12,2.1," "
nhl.p.5282,Cam,Atkinson,RW,CLS,TOR,CLS@TOR,7:00PM EST,18,5.8," "
nhl.p.5405,Boone,Jenner,C,CLS,TOR,CLS@TOR,7:00PM EST,15,5.8," "
nhl.p.5411,Brandon,Saad,LW,CLS,TOR,CLS@TOR,7:00PM EST,27,6.4," "
nhl.p.5421,William,Karlsson,C,CLS,TOR,CLS@TOR,7:00PM EST,12,2.4," "
nhl.p.5553,Anton,Forsberg,G,CLS,TOR,CLS@TOR,7:00PM EST,20,6.3," "
nhl.p.5682,Ryan,Murray,D,CLS,TOR,CLS@TOR,7:00PM EST,12,3.6," "
nhl.p.5753,Joonas,Korpisalo,G,CLS,TOR,CLS@TOR,7:00PM EST,24,6.8," "
nhl.p.5785,Josh,Anderson,RW,CLS,TOR,CLS@TOR,7:00PM EST,13,2.9," "
nhl.p.5983,Seth,Jones,D,CLS,TOR,CLS@TOR,7:00PM EST,12,4.1," "
nhl.p.5993,Alexander,Wennberg,C,CLS,TOR,CLS@TOR,7:00PM EST,15,3.2," "
nhl.p.5998,Kerby,Rychel,LW,CLS,TOR,CLS@TOR,7:00PM EST,12,3.6," "
nhl.p.4008,Nick,Foligno,LW,CLS,TOR,CLS@TOR,7:00PM EST,20,7.4,IR
nhl.p.4901,Sergei,Bobrovsky,G,CLS,TOR,CLS@TOR,7:00PM EST,37,12.4,IR
nhl.p.3747,Curtis,McElhinney,G,CLS,TOR,CLS@TOR,7:00PM EST,21,9.2,IR
nhl.p.3741,David,Clarkson,RW,CLS,TOR,CLS@TOR,7:00PM EST,12,2.4,DTD
nhl.p.4794,Matt,Calvert,LW,CLS,TOR,CLS@TOR,7:00PM EST,12,3.7,IR
nhl.p.6725,Markus,Hannikainen,LW,CLS,TOR,CLS@TOR,7:00PM EST,12,0.0,IR
nhl.p.2525,Brad,Boyes,RW,TOR,CLS,CLS@TOR,7:00PM EST,12,4.5," "
nhl.p.3110,Joffrey,Lupul,LW,TOR,CLS,CLS@TOR,7:00PM EST,12,3.9," "
nhl.p.3262,Pierre-Alexandr,Parenteau,RW,TOR,CLS,CLS@TOR,7:00PM EST,17,4.4," "
nhl.p.3347,Dion,Phaneuf,D,TOR,CLS,CLS@TOR,7:00PM EST,15,5.4," "
nhl.p.3867,Daniel,Winnik,LW,TOR,CLS,CLS@TOR,7:00PM EST,12,4.0," "
nhl.p.3926,Roman,Polak,D,TOR,CLS,CLS@TOR,7:00PM EST,12,3.8," "
nhl.p.3993,Jonathan,Bernier,G,TOR,CLS,CLS@TOR,7:00PM EST,28,10.3," "
nhl.p.3995,Michael,Grabner,RW,TOR,CLS,CLS@TOR,7:00PM EST,16,4.3," "
nhl.p.4118,Shawn,Matthias,C,TOR,CLS,CLS@TOR,7:00PM EST,12,3.4," "
nhl.p.4241,James,van Riemsdyk,LW,TOR,CLS,CLS@TOR,7:00PM EST,24,6.6,DTD
nhl.p.4270,Matt,Hunwick,D,TOR,CLS,CLS@TOR,7:00PM EST,12,3.2," "
nhl.p.4369,James,Reimer,G,TOR,CLS,CLS@TOR,7:00PM EST,37,10.4," "
nhl.p.4493,Jake,Gardiner,D,TOR,CLS,CLS@TOR,7:00PM EST,13,3.3," "
nhl.p.4629,Tyler,Bozak,C,TOR,CLS,CLS@TOR,7:00PM EST,19,5.2," "
nhl.p.4687,Nazem,Kadri,C,TOR,CLS,CLS@TOR,7:00PM EST,24,5.8," "
nhl.p.4695,Peter,Holland,C,TOR,CLS,CLS@TOR,7:00PM EST,14,4.1," "
nhl.p.5019,Martin,Marincin,D,TOR,CLS,CLS@TOR,7:00PM EST,12,2.2," "
nhl.p.5291,Mark,Arcobello,RW,TOR,CLS,CLS@TOR,7:00PM EST,12,3.6," "
nhl.p.5344,Byron,Froese,C,TOR,CLS,CLS@TOR,7:00PM EST,12,2.0," "
nhl.p.5515,Frank,Corrado,D,TOR,CLS,CLS@TOR,7:00PM EST,12,1.1," "
nhl.p.5672,Leo,Komarov,C,TOR,CLS,CLS@TOR,7:00PM EST,20,4.7," "
nhl.p.5685,Morgan,Rielly,D,TOR,CLS,CLS@TOR,7:00PM EST,17,4.8," "
nhl.p.6151,Antoine,Bibeau,G,TOR,CLS,CLS@TOR,7:00PM EST,20,0.0," "
nhl.p.4539,Nick,Spaling,C,TOR,CLS,CLS@TOR,7:00PM EST,12,2.9,DTD
nhl.p.5555,Garret,Sparks,G,TOR,CLS,CLS@TOR,7:00PM EST,32,11.8," "
nhl.p.1797,Stephane,Robidas,D,TOR,CLS,CLS@TOR,7:00PM EST,12,3.0,IR
nhl.p.1700,Zdeno,Chara,D,BOS,PHI,BOS@PHI,8:00PM EST,16,5.9," "
nhl.p.3123,Dennis,Seidenberg,D,BOS,PHI,BOS@PHI,8:00PM EST,13,3.9," "
nhl.p.3371,Loui,Eriksson,RW,BOS,PHI,BOS@PHI,8:00PM EST,21,6.0," "
nhl.p.3383,Patrice,Bergeron,C,BOS,PHI,BOS@PHI,8:00PM EST,30,7.8," "
nhl.p.3472,Max,Talbot,C,BOS,PHI,BOS@PHI,8:00PM EST,12,2.6," "
nhl.p.3798,Tuukka,Rask,G,BOS,PHI,BOS@PHI,8:00PM EST,34,11.9," "
nhl.p.4351,Brad,Marchand,LW,BOS,PHI,BOS@PHI,8:00PM EST,22,6.4," "
nhl.p.4426,Matt,Beleskey,LW,BOS,PHI,BOS@PHI,8:00PM EST,19,5.8," "
nhl.p.4718,Jonas,Gustavsson,G,BOS,PHI,BOS@PHI,8:00PM EST,30,10.2," "
nhl.p.4748,Zac,Rinaldo,LW,BOS,PHI,BOS@PHI,8:00PM EST,12,1.1," "
nhl.p.4959,Jimmy,Hayes,RW,BOS,PHI,BOS@PHI,8:00PM EST,15,4.8," "
nhl.p.4966,Brett,Connolly,RW,BOS,PHI,BOS@PHI,8:00PM EST,12,3.5," "
nhl.p.5018,Ryan,Spooner,C,BOS,PHI,BOS@PHI,8:00PM EST,20,5.7," "
nhl.p.5184,Zach,Trotman,D,BOS,PHI,BOS@PHI,8:00PM EST,12,3.7," "
nhl.p.5240,Landon,Ferraro,C,BOS,PHI,BOS@PHI,8:00PM EST,12,2.4," "
nhl.p.5315,Tyler,Randell,RW,BOS,PHI,BOS@PHI,8:00PM EST,12,2.1," "
nhl.p.5384,Joe,Morrow,D,BOS,PHI,BOS@PHI,8:00PM EST,12,3.2," "
nhl.p.5615,Kevan,Miller,D,BOS,PHI,BOS@PHI,8:00PM EST,12,4.1," "
nhl.p.5632,Torey,Krug,D,BOS,PHI,BOS@PHI,8:00PM EST,20,6.6," "
nhl.p.5841,Colin,Miller,D,BOS,PHI,BOS@PHI,8:00PM EST,12,4.5," "
nhl.p.6391,David,Pastrnak,RW,BOS,PHI,BOS@PHI,8:00PM EST,14,5.3," "
nhl.p.6707,Frank,Vatrano,LW,BOS,PHI,BOS@PHI,8:00PM EST,13,5.0," "
nhl.p.6735,Joonas,Kemppainen,LW,BOS,PHI,BOS@PHI,8:00PM EST,12,1.2," "
nhl.p.3816,Adam,McQuaid,D,BOS,PHI,BOS@PHI,8:00PM EST,12,3.0,IR
nhl.p.3898,David,Krejci,C,BOS,PHI,BOS@PHI,8:00PM EST,19,6.5,IR
nhl.p.2800,Chris,Kelly,C,BOS,PHI,BOS@PHI,8:00PM EST,12,3.8,IR
nhl.p.2529,Nick,Schultz,D,PHI,BOS,BOS@PHI,8:00PM EST,12,3.6," "
nhl.p.2852,R.J.,Umberger,C,PHI,BOS,BOS@PHI,8:00PM EST,12,2.9," "
nhl.p.3833,Mark,Streit,D,PHI,BOS,BOS@PHI,8:00PM EST,14,5.8," "
nhl.p.4002,Claude,Giroux,C,PHI,BOS,BOS@PHI,8:00PM EST,22,7.8," "
nhl.p.4163,Steve,Mason,G,PHI,BOS,BOS@PHI,8:00PM EST,34,11.4," "
nhl.p.4213,Michal,Neuvirth,G,PHI,BOS,BOS@PHI,8:00PM EST,32,11.7," "
nhl.p.4246,Jakub,Voracek,RW,PHI,BOS,BOS@PHI,8:00PM EST,23,7.4," "
nhl.p.4323,Ryan,White,RW,PHI,BOS,BOS@PHI,8:00PM EST,12,3.3," "
nhl.p.4328,Wayne,Simmonds,RW,PHI,BOS,BOS@PHI,8:00PM EST,15,6.0," "
nhl.p.4496,Michael,Del Zotto,D,PHI,BOS,BOS@PHI,8:00PM EST,18,5.7," "
nhl.p.4685,Brayden,Schenn,C,PHI,BOS,BOS@PHI,8:00PM EST,19,5.3," "
