Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nhl.p.1868,Dan,Boyle,D,NYR,NYI,NYR@NYI,7:00PM EST,17,5.2," "
nhl.p.2645,Henrik,Lundqvist,G,NYR,NYI,NYR@NYI,7:00PM EST,32,12.9," "
nhl.p.2786,Dominic,Moore,C,NYR,NYI,NYR@NYI,7:00PM EST,12,3.3," "
nhl.p.3153,Rick,Nash,LW,NYR,NYI,NYR@NYI,7:00PM EST,24,8.8," "
nhl.p.3375,Kevin,Klein,D,NYR,NYI,NYR@NYI,7:00PM EST,14,5.3," "
nhl.p.3789,Marc,Staal,D,NYR,NYI,NYR@NYI,7:00PM EST,12,3.7," "
nhl.p.3885,Keith,Yandle,D,NYR,NYI,NYR@NYI,7:00PM EST,19,6.1," "
nhl.p.3953,Dan,Girardi,D,NYR,NYI,NYR@NYI,7:00PM EST,13,5.1,DTD
nhl.p.3987,Derick,Brassard,C,NYR,NYI,NYR@NYI,7:00PM EST,20,6.7," "
nhl.p.4251,Ryan,McDonagh,D,NYR,NYI,NYR@NYI,7:00PM EST,20,6.7," "
nhl.p.4310,Tanner,Glass,LW,NYR,NYI,NYR@NYI,7:00PM EST,12,1.2," "
nhl.p.4645,Viktor,Stalberg,LW,NYR,NYI,NYR@NYI,7:00PM EST,16,4.1," "
nhl.p.4699,Chris,Kreider,LW,NYR,NYI,NYR@NYI,7:00PM EST,14,5.4," "
nhl.p.4921,Mats,Zuccarello,RW,NYR,NYI,NYR@NYI,7:00PM EST,19,6.2," "
nhl.p.4970,Dylan,McIlrath,D,NYR,NYI,NYR@NYI,7:00PM EST,12,2.9," "
nhl.p.4984,Kevin,Hayes,RW,NYR,NYI,NYR@NYI,7:00PM EST,14,4.6," "
nhl.p.4992,Derek,Stepan,C,NYR,NYI,NYR@NYI,7:00PM EST,19,6.7," "
nhl.p.5030,Oscar,Lindberg,C,NYR,NYI,NYR@NYI,7:00PM EST,14,5.1," "
nhl.p.5130,Jesper,Fast,RW,NYR,NYI,NYR@NYI,7:00PM EST,13,3.0," "
nhl.p.5376,J.T.,Miller,C,NYR,NYI,NYR@NYI,7:00PM EST,15,4.4," "
nhl.p.5902,Jayson,Megna,RW,NYR,NYI,NYR@NYI,7:00PM EST,12,2.6," "
nhl.p.5967,Antti,Raanta,G,NYR,NYI,NYR@NYI,7:00PM EST,21,10.7," "
nhl.p.3249,Marek,Zidlicky,D,NYI,NYR,NYR@NYI,7:00PM EST,13,4.2," "
nhl.p.3354,Steve,Bernier,RW,NYI,NYR,NYR@NYI,7:00PM EST,12,4.5," "
nhl.p.3734,Jaroslav,Halak,G,NYI,NYR,NYR@NYI,7:00PM EST,34,12.1," "
nhl.p.3918,Frans,Nielsen,C,NYI,NYR,NYR@NYI,7:00PM EST,19,6.3," "
nhl.p.3936,Thomas,Greiss,G,NYI,NYR,NYR@NYI,7:00PM EST,35,12.0," "
nhl.p.3965,Mikhail,Grabovski,C,NYI,NYR,NYR@NYI,7:00PM EST,12,3.9," "
nhl.p.3988,Kyle,Okposo,RW,NYI,NYR,NYR@NYI,7:00PM EST,22,7.0," "
nhl.p.4188,Nikolay,Kulemin,LW,NYI,NYR,NYR@NYI,7:00PM EST,12,3.9," "
