Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL
554231125,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Artem Anisimov (7734069),Alexander Wennberg (7734055),Marian Hossa (7734136),Nick Foligno (7734114),Andrew Cogliano (7734075),Zach Werenski (7734165),Dion Phaneuf (7734167),Sergei Bobrovsky (7734210),Rickard Rakell (7734120)
554231126,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Alexander Wennberg (7734055),Kyle Turris (7734058),Marian Hossa (7734136),Nick Foligno (7734114),Josh Anderson (7734121),Erik Karlsson (7734173),Dion Phaneuf (7734167),Corey Crawford (7734221),Rickard Rakell (7734120)
554231127,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Artem Anisimov (7734069),Alexander Wennberg (7734055),Marian Hossa (7734136),Nick Foligno (7734114),Josh Anderson (7734121),Erik Karlsson (7734173),Dion Phaneuf (7734167),Robin Lehner (7734214),Rickard Rakell (7734120)
554231128,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Artem Anisimov (7734069),Alexander Wennberg (7734055),Marian Hossa (7734136),Josh Anderson (7734121),Tom Pyatt (7734127),Zach Werenski (7734165),Dion Phaneuf (7734167),Corey Crawford (7734221),Patrick Kane (7734139)
554231129,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Alexander Wennberg (7734055),Johan Larsson (7734060),Marian Hossa (7734136),Nick Foligno (7734114),Sam Gagner (7734116),Duncan Keith (7734188),Zach Werenski (7734165),Sergei Bobrovsky (7734210),Vladimir Tarasenko (7734141)
554231130,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Ryan Getzlaf (7734048),Alexander Wennberg (7734055),Marian Hossa (7734136),Sam Gagner (7734116),Josh Anderson (7734121),Duncan Keith (7734188),Dion Phaneuf (7734167),Corey Crawford (7734221),Erik Karlsson (7734173)
554231131,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Jonathan Toews (7734066),Antoine Vermette (7734045),Marian Hossa (7734136),Nick Foligno (7734114),Brandon Saad (7734080),Kevin Shattenkirk (7734191),Dion Phaneuf (7734167),Corey Crawford (7734221),Artem Anisimov (7734069)
554231132,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Alexander Wennberg (7734055),William Karlsson (7734053),Nick Foligno (7734114),Cam Atkinson (7734117),Brian Gionta (7734124),Erik Karlsson (7734173),Zach Werenski (7734165),Sergei Bobrovsky (7734210),Patrick Kane (7734139)
554231133,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Ryan Getzlaf (7734048),Antoine Vermette (7734045),Nick Foligno (7734114),Marian Hossa (7734136),Matt Moulson (7734087),Zach Werenski (7734165),Dion Phaneuf (7734167),Sergei Bobrovsky (7734210),Erik Karlsson (7734173)
554231134,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Ryan Getzlaf (7734048),Alexander Wennberg (7734055),Marian Hossa (7734136),Nick Foligno (7734114),Josh Anderson (7734121),Erik Karlsson (7734173),Dion Phaneuf (7734167),Jake Allen (7734222),Rickard Rakell (7734120)
554231135,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Ryan Getzlaf (7734048),Ryan Kesler (7734047),Nick Foligno (7734114),Sam Gagner (7734116),Josh Anderson (7734121),Zach Werenski (7734165),Alex Pietrangelo (7734193),Sergei Bobrovsky (7734210),Artem Anisimov (7734069)
554231136,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Ryan Getzlaf (7734048),Alexander Wennberg (7734055),Brandon Saad (7734080),Nick Foligno (7734114),David Perron (7734140),Zach Werenski (7734165),Dion Phaneuf (7734167),Robin Lehner (7734214),Artem Anisimov (7734069)
554231137,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Kyle Turris (7734058),Alexander Wennberg (7734055),Mike Hoffman (7734091),Nick Foligno (7734114),Sam Gagner (7734116),Zach Werenski (7734165),Colton Parayko (7734199),Robin Lehner (7734214),Erik Karlsson (7734173)
554231138,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Ryan Getzlaf (7734048),Michael Sgarbossa (7734052),Marian Hossa (7734136),Nick Foligno (7734114),Matt Moulson (7734087),Zach Werenski (7734165),Dion Phaneuf (7734167),Robin Lehner (7734214),Patrick Kane (7734139)
554231139,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Jonathan Toews (7734066),Johan Larsson (7734060),Brandon Saad (7734080),Cam Atkinson (7734117),Josh Anderson (7734121),Kevin Shattenkirk (7734191),Alex Pietrangelo (7734193),Corey Crawford (7734221),Vladimir Tarasenko (7734141)
554231140,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Ryan Getzlaf (7734048),Alexander Wennberg (7734055),Marian Hossa (7734136),Cam Atkinson (7734117),Nick Foligno (7734114),Colton Parayko (7734199),Dion Phaneuf (7734167),Jake Allen (7734222),Artem Anisimov (7734069)
554231141,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Kyle Turris (7734058),Alexander Wennberg (7734055),Marian Hossa (7734136),Nick Foligno (7734114),Sam Gagner (7734116),Zach Werenski (7734165),Dion Phaneuf (7734167),Jake Allen (7734222),Vladimir Tarasenko (7734141)
554231142,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Ryan Getzlaf (7734048),Antoine Vermette (7734045),Brandon Saad (7734080),Nick Foligno (7734114),David Perron (7734140),Zach Werenski (7734165),Alex Pietrangelo (7734193),Robin Lehner (7734214),Artemi Panarin (7734112)
554231143,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Jonathan Toews (7734066),Alexander Wennberg (7734055),Brandon Saad (7734080),Nick Foligno (7734114),Brian Gionta (7734124),Zach Werenski (7734165),Sami Vatanen (7734157),Jake Allen (7734222),Erik Karlsson (7734173)
554231144,NHL $3K Hip Check [$3000 Guaranteed] ,31901107,$1,Ryan Getzlaf (7734048),Alexander Wennberg (7734055),Nick Foligno (7734114),Andrew Cogliano (7734075),Josh Anderson (7734121),Zach Werenski (7734165),Colton Parayko (7734199),Jake Allen (7734222),Patrick Kane (7734139)
